37210,2013-01-02,48,122425,31.0,,
77509,2013-01-03,48,122425,22.0,,
117454,2013-01-04,48,122425,16.0,,
159715,2013-01-05,48,122425,43.0,,
201604,2013-01-06,48,122425,26.0,,
241285,2013-01-07,48,122425,12.0,,
280513,2013-01-08,48,122425,34.0,,
319494,2013-01-09,48,122425,6.0,,
357950,2013-01-10,48,122425,10.0,,
397041,2013-01-11,48,122425,4.0,,
438924,2013-01-12,48,122425,16.0,,
480956,2013-01-13,48,122425,24.0,,
520787,2013-01-14,48,122425,12.0,,
560417,2013-01-15,48,122425,8.0,,
600356,2013-01-16,48,122425,8.0,,
639723,2013-01-17,48,122425,11.0,,
679373,2013-01-18,48,122425,5.0,,
722372,2013-01-19,48,122425,21.0,,
764809,2013-01-20,48,122425,19.0,,
805263,2013-01-21,48,122425,6.0,,
844810,2013-01-22,48,122425,5.0,,
884132,2013-01-23,48,122425,4.0,,
922872,2013-01-24,48,122425,12.0,,
962594,2013-01-25,48,122425,8.0,,
1005396,2013-01-26,48,122425,25.0,,
1047597,2013-01-27,48,122425,15.0,,
1087843,2013-01-28,48,122425,10.0,,
1127358,2013-01-29,48,122425,10.0,,
1167113,2013-01-30,48,122425,8.0,,
1207170,2013-01-31,48,122425,9.0,,
1249259,2013-02-01,48,122425,10.0,,
1294172,2013-02-02,48,122425,34.0,,
1337735,2013-02-03,48,122425,28.0,,
1379549,2013-02-04,48,122425,15.0,,
1420742,2013-02-05,48,122425,161.0,,
1461703,2013-02-06,48,122425,9.0,,
1502232,2013-02-07,48,122425,13.0,,
1543758,2013-02-08,48,122425,10.0,,
1587402,2013-02-09,48,122425,17.0,,
1627291,2013-02-10,48,122425,12.0,,
1665988,2013-02-11,48,122425,6.0,,
1787612,2013-02-14,48,122425,3.0,,
1828684,2013-02-15,48,122425,8.0,,
1872348,2013-02-16,48,122425,11.0,,
1914068,2013-02-17,48,122425,25.0,,
1955542,2013-02-18,48,122425,20.0,,
1996144,2013-02-19,48,122425,12.0,,
2037199,2013-02-20,48,122425,21.0,,
2077379,2013-02-21,48,122425,9.0,,
2117825,2013-02-22,48,122425,12.0,,
2161127,2013-02-23,48,122425,7.0,,
2204236,2013-02-24,48,122425,27.0,,
2245606,2013-02-25,48,122425,7.0,,
2286138,2013-02-26,48,122425,5.0,,
2326599,2013-02-27,48,122425,13.0,,
2367428,2013-02-28,48,122425,13.0,,
2410388,2013-03-01,48,122425,11.0,,
2456026,2013-03-02,48,122425,20.0,,
2500542,2013-03-03,48,122425,30.0,,
2543584,2013-03-04,48,122425,16.0,,
2585479,2013-03-05,48,122425,9.0,,
2627334,2013-03-06,48,122425,7.0,,
2668479,2013-03-07,48,122425,6.0,,
2709507,2013-03-08,48,122425,12.0,,
2753617,2013-03-09,48,122425,24.0,,
2797097,2013-03-10,48,122425,25.0,,
2838728,2013-03-11,48,122425,206.0,,
2879049,2013-03-12,48,122425,9.0,,
2919485,2013-03-13,48,122425,10.0,,
2959232,2013-03-14,48,122425,15.0,,
