38091,2013-01-02,48,956012,40.0,,
78366,2013-01-03,48,956012,31.0,,
118345,2013-01-04,48,956012,29.0,,
160645,2013-01-05,48,956012,45.0,,
202528,2013-01-06,48,956012,42.0,,
242135,2013-01-07,48,956012,20.0,,
281345,2013-01-08,48,956012,17.0,,
320323,2013-01-09,48,956012,13.0,,
358781,2013-01-10,48,956012,19.0,,
397921,2013-01-11,48,956012,27.0,,
439858,2013-01-12,48,956012,22.0,,
481903,2013-01-13,48,956012,32.0,,
521652,2013-01-14,48,956012,17.0,,
561267,2013-01-15,48,956012,11.0,,
601230,2013-01-16,48,956012,17.0,,
640574,2013-01-17,48,956012,15.0,,
680240,2013-01-18,48,956012,5.0,,
723332,2013-01-19,48,956012,25.0,,
765759,2013-01-20,48,956012,45.0,,
806113,2013-01-21,48,956012,13.0,,
845639,2013-01-22,48,956012,9.0,,
884987,2013-01-23,48,956012,28.0,,
923725,2013-01-24,48,956012,7.0,,
963468,2013-01-25,48,956012,11.0,,
1006356,2013-01-26,48,956012,35.0,,
1048569,2013-01-27,48,956012,36.0,,
1088713,2013-01-28,48,956012,14.0,,
1128205,2013-01-29,48,956012,8.0,,
1167982,2013-01-30,48,956012,13.0,,
1208043,2013-01-31,48,956012,19.0,,
1250186,2013-02-01,48,956012,14.0,,
1295147,2013-02-02,48,956012,47.0,,
1338720,2013-02-03,48,956012,38.0,,
1380450,2013-02-04,48,956012,20.0,,
1421636,2013-02-05,48,956012,21.0,,
1462601,2013-02-06,48,956012,12.0,,
1503106,2013-02-07,48,956012,21.0,,
1544655,2013-02-08,48,956012,18.0,,
1588345,2013-02-09,48,956012,18.0,,
1628222,2013-02-10,48,956012,14.0,,
1666929,2013-02-11,48,956012,21.0,,
1706653,2013-02-12,48,956012,20.0,,
1748001,2013-02-13,48,956012,19.0,,
1788500,2013-02-14,48,956012,11.0,,
1829577,2013-02-15,48,956012,17.0,,
1873319,2013-02-16,48,956012,20.0,,
1915011,2013-02-17,48,956012,32.0,,
1956454,2013-02-18,48,956012,18.0,,
1997003,2013-02-19,48,956012,6.0,,
2038095,2013-02-20,48,956012,10.0,,
2078237,2013-02-21,48,956012,15.0,,
2118718,2013-02-22,48,956012,9.0,,
2162098,2013-02-23,48,956012,23.0,,
2205196,2013-02-24,48,956012,38.0,,
2246489,2013-02-25,48,956012,11.0,,
2286994,2013-02-26,48,956012,19.0,,
2327464,2013-02-27,48,956012,11.0,,
2368321,2013-02-28,48,956012,15.0,,
2411327,2013-03-01,48,956012,21.0,,
2457021,2013-03-02,48,956012,35.0,,
2501529,2013-03-03,48,956012,53.0,,
2544523,2013-03-04,48,956012,16.0,,
2586390,2013-03-05,48,956012,20.0,,
2628238,2013-03-06,48,956012,17.0,,
2669355,2013-03-07,48,956012,14.0,,
2710386,2013-03-08,48,956012,14.0,,
2754594,2013-03-09,48,956012,31.0,,
2798071,2013-03-10,48,956012,41.0,,
2839620,2013-03-11,48,956012,15.0,,
2879912,2013-03-12,48,956012,15.0,,
2920369,2013-03-13,48,956012,7.0,,
2960085,2013-03-14,48,956012,2.0,,
3046799,2013-03-16,48,956012,27.0,,
3091881,2013-03-17,48,956012,35.0,,
3134528,2013-03-18,48,956012,20.0,,
3176481,2013-03-19,48,956012,14.0,,
3218825,2013-03-20,48,956012,10.0,,
3260083,2013-03-21,48,956012,14.0,,
3301911,2013-03-22,48,956012,10.0,,
3347047,2013-03-23,48,956012,30.0,,
3391139,2013-03-24,48,956012,39.0,,
3433388,2013-03-25,48,956012,13.0,,
3474532,2013-03-26,48,956012,9.0,,
3516005,2013-03-27,48,956012,13.0,,
3558834,2013-03-28,48,956012,7.0,,
3601159,2013-03-29,48,956012,22.0,,
3646076,2013-03-30,48,956012,35.0,,
3689792,2013-03-31,48,956012,26.0,,
3733925,2013-04-01,48,956012,15.0,,
3777335,2013-04-02,48,956012,20.0,,
3820483,2013-04-03,48,956012,13.0,,
3862654,2013-04-04,48,956012,20.0,,
3905036,2013-04-05,48,956012,13.0,,
3950662,2013-04-06,48,956012,35.0,,
3995292,2013-04-07,48,956012,38.0,,
4037990,2013-04-08,48,956012,16.0,,
4079533,2013-04-09,48,956012,15.0,,
4121280,2013-04-10,48,956012,11.0,,
4162665,2013-04-11,48,956012,7.0,,
4204841,2013-04-12,48,956012,10.0,,
4249833,2013-04-13,48,956012,20.0,,
4294064,2013-04-14,48,956012,28.0,,
4336772,2013-04-15,48,956012,16.0,,
4379227,2013-04-16,48,956012,16.0,,
4421468,2013-04-17,48,956012,9.0,,
4462339,2013-04-18,48,956012,15.0,,
4504040,2013-04-19,48,956012,8.0,,
4548858,2013-04-20,48,956012,23.0,,
4593142,2013-04-21,48,956012,26.0,,
4635512,2013-04-22,48,956012,10.0,,
4677195,2013-04-23,48,956012,2.0,,
4759428,2013-04-25,48,956012,11.0,,
4800844,2013-04-26,48,956012,8.0,,
4845754,2013-04-27,48,956012,34.0,,
4889989,2013-04-28,48,956012,32.0,,
4932304,2013-04-29,48,956012,21.0,,
4974433,2013-04-30,48,956012,15.0,,
5019512,2013-05-01,48,956012,52.0,,
5062686,2013-05-02,48,956012,17.0,,
5105808,2013-05-03,48,956012,20.0,,
5151949,2013-05-04,48,956012,31.0,,
5197691,2013-05-05,48,956012,40.0,,
5240879,2013-05-06,48,956012,10.0,,
5283031,2013-05-07,48,956012,6.0,,
5325097,2013-05-08,48,956012,7.0,,
5367811,2013-05-09,48,956012,6.0,,
5411044,2013-05-10,48,956012,19.0,,
5458121,2013-05-11,48,956012,24.0,,
5502370,2013-05-12,48,956012,11.0,,
5545920,2013-05-13,48,956012,17.0,,
5588681,2013-05-14,48,956012,14.0,,
5631851,2013-05-15,48,956012,15.0,,
5674703,2013-05-16,48,956012,20.0,,
5717977,2013-05-17,48,956012,7.0,,
5764782,2013-05-18,48,956012,27.0,,
5810898,2013-05-19,48,956012,33.0,,
5854799,2013-05-20,48,956012,12.0,,
5897453,2013-05-21,48,956012,13.0,,
5939952,2013-05-22,48,956012,15.0,,
5982581,2013-05-23,48,956012,14.0,,
6027690,2013-05-24,48,956012,14.0,,
6073765,2013-05-25,48,956012,18.0,,
6118988,2013-05-26,48,956012,28.0,,
6162306,2013-05-27,48,956012,19.0,,
6205423,2013-05-28,48,956012,15.0,,
6248457,2013-05-29,48,956012,12.0,,
6291637,2013-05-30,48,956012,13.0,,
6335178,2013-05-31,48,956012,8.0,,
6383630,2013-06-01,48,956012,30.0,,
6431559,2013-06-02,48,956012,51.0,,
6477482,2013-06-03,48,956012,21.0,,
6522293,2013-06-04,48,956012,17.0,,
6567059,2013-06-05,48,956012,16.0,,
6610806,2013-06-06,48,956012,18.0,,
6655128,2013-06-07,48,956012,12.0,,
6702315,2013-06-08,48,956012,17.0,,
6749227,2013-06-09,48,956012,28.0,,
6793734,2013-06-10,48,956012,9.0,,
6836621,2013-06-11,48,956012,16.0,,
6880160,2013-06-12,48,956012,17.0,,
6923029,2013-06-13,48,956012,10.0,,
6966851,2013-06-14,48,956012,17.0,,
7014962,2013-06-15,48,956012,21.0,,
7060979,2013-06-16,48,956012,14.0,,
7105915,2013-06-17,48,956012,18.0,,
7149827,2013-06-18,48,956012,11.0,,
7193232,2013-06-19,48,956012,8.0,,
7236825,2013-06-20,48,956012,8.0,,
7280642,2013-06-21,48,956012,10.0,,
7327884,2013-06-22,48,956012,25.0,,
7374894,2013-06-23,48,956012,37.0,,
7419320,2013-06-24,48,956012,12.0,,
7462800,2013-06-25,48,956012,17.0,,
7506253,2013-06-26,48,956012,10.0,,
7548843,2013-06-27,48,956012,5.0,,
7592909,2013-06-28,48,956012,15.0,,
7641212,2013-06-29,48,956012,24.0,,
7688661,2013-06-30,48,956012,42.0,,
7735398,2013-07-01,48,956012,25.0,,
7781257,2013-07-02,48,956012,14.0,,
7826563,2013-07-03,48,956012,22.0,,
7871211,2013-07-04,48,956012,18.0,,
7915959,2013-07-05,48,956012,19.0,,
7963829,2013-07-06,48,956012,25.0,,
8010854,2013-07-07,48,956012,32.0,,
8055111,2013-07-08,48,956012,16.0,,
8098613,2013-07-09,48,956012,12.0,,
8141504,2013-07-10,48,956012,13.0,,
8184025,2013-07-11,48,956012,6.0,,
8226797,2013-07-12,48,956012,5.0,,
8273110,2013-07-13,48,956012,22.0,,
8318516,2013-07-14,48,956012,31.0,,
8362931,2013-07-15,48,956012,13.0,,
8407023,2013-07-16,48,956012,14.0,,
8450739,2013-07-17,48,956012,9.0,,
8493414,2013-07-18,48,956012,18.0,,
8536704,2013-07-19,48,956012,16.0,,
8583220,2013-07-20,48,956012,14.0,,
8628975,2013-07-21,48,956012,25.0,,
8673512,2013-07-22,48,956012,18.0,,
8717557,2013-07-23,48,956012,10.0,,
8760774,2013-07-24,48,956012,12.0,,
8804518,2013-07-25,48,956012,17.0,,
8848273,2013-07-26,48,956012,8.0,,
8894982,2013-07-27,48,956012,23.0,,
8940608,2013-07-28,48,956012,41.0,,
8984798,2013-07-29,48,956012,15.0,,
9028961,2013-07-30,48,956012,16.0,,
9074432,2013-07-31,48,956012,20.0,,
9121050,2013-08-01,48,956012,14.0,,
9167457,2013-08-02,48,956012,18.0,,
9216382,2013-08-03,48,956012,47.0,,
9263938,2013-08-04,48,956012,46.0,,
9310450,2013-08-05,48,956012,22.0,,
9355994,2013-08-06,48,956012,12.0,,
9400982,2013-08-07,48,956012,19.0,,
9445557,2013-08-08,48,956012,28.0,,
